"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 29 20:25:14 MSK 2020","Sun Nov 29 20:25:28 MSK 2020","14328","","ru.netology.tests.TestOwnerField","","ru.netology.tests.TestOwnerField","emptyOwnerFieldBuyFormTest","emptyOwnerFieldBuyFormTest()",""
"passed","Sun Nov 29 20:20:23 MSK 2020","Sun Nov 29 20:20:25 MSK 2020","1853","","ru.netology.tests.TestCvcField","","ru.netology.tests.TestCvcField","incorrectFormatCvcCreditForm","incorrectFormatCvcCreditForm()",""
"passed","Sun Nov 29 20:25:38 MSK 2020","Sun Nov 29 20:25:40 MSK 2020","1559","","ru.netology.tests.TestYearField","","ru.netology.tests.TestYearField","emptyYearFieldBuyFormTest","emptyYearFieldBuyFormTest()",""
"passed","Sun Nov 29 20:24:27 MSK 2020","Sun Nov 29 20:24:31 MSK 2020","4455","","ru.netology.tests.TestOwnerField","","ru.netology.tests.TestOwnerField","doubleSurnameOwnerCreditFormTest","doubleSurnameOwnerCreditFormTest()",""
"failed","Sun Nov 29 20:23:06 MSK 2020","Sun Nov 29 20:23:20 MSK 2020","14246","","ru.netology.tests.TestOwnerField","","ru.netology.tests.TestOwnerField","punctuationMarksNumberInOwnerFieldCreditFormTest","punctuationMarksNumberInOwnerFieldCreditFormTest()",""
"failed","Sun Nov 29 20:24:57 MSK 2020","Sun Nov 29 20:25:12 MSK 2020","14396","","ru.netology.tests.TestOwnerField","","ru.netology.tests.TestOwnerField","punctuationMarksNumberInOwnerFieldBuyFormTest","punctuationMarksNumberInOwnerFieldBuyFormTest()",""
"failed","Sun Nov 29 20:23:20 MSK 2020","Sun Nov 29 20:23:34 MSK 2020","14406","","ru.netology.tests.TestOwnerField","","ru.netology.tests.TestOwnerField","oneLetterInFieldOwnerCreditFormTest","oneLetterInFieldOwnerCreditFormTest()",""
"passed","Sun Nov 29 20:20:21 MSK 2020","Sun Nov 29 20:20:23 MSK 2020","1963","","ru.netology.tests.TestCvcField","","ru.netology.tests.TestCvcField","emptyFieldCvcCreditForm","emptyFieldCvcCreditForm()",""
"passed","Sun Nov 29 20:22:23 MSK 2020","Sun Nov 29 20:22:27 MSK 2020","4672","","ru.netology.tests.TestOwnerField","","ru.netology.tests.TestOwnerField","correctNameFieldRuBuyFormTest","correctNameFieldRuBuyFormTest()",""
"passed","Sun Nov 29 20:19:59 MSK 2020","Sun Nov 29 20:20:06 MSK 2020","6590","","ru.netology.tests.TestApi","","ru.netology.tests.TestApi","declinedCardCreditForm","declinedCardCreditForm()",""
"passed","Sun Nov 29 20:20:07 MSK 2020","Sun Nov 29 20:20:07 MSK 2020","222","","ru.netology.tests.TestApi","","ru.netology.tests.TestApi","approvedCardBuyForm","approvedCardBuyForm()",""
"passed","Sun Nov 29 20:21:34 MSK 2020","Sun Nov 29 20:21:42 MSK 2020","7901","","ru.netology.tests.TestNumberCardField","","ru.netology.tests.TestNumberCardField","uncorrectNumberCardCreditFormTest","uncorrectNumberCardCreditFormTest()",""
"passed","Sun Nov 29 20:20:19 MSK 2020","Sun Nov 29 20:20:21 MSK 2020","2125","","ru.netology.tests.TestCvcField","","ru.netology.tests.TestCvcField","incorrectFormatCvcBuyForm","incorrectFormatCvcBuyForm()",""
"failed","Sun Nov 29 20:22:06 MSK 2020","Sun Nov 29 20:22:21 MSK 2020","14555","","ru.netology.tests.TestNumberCardField","","ru.netology.tests.TestNumberCardField","correctNumberCardDeclinedBuyFormTest","correctNumberCardDeclinedBuyFormTest()",""
"failed","Sun Nov 29 20:22:32 MSK 2020","Sun Nov 29 20:22:47 MSK 2020","14767","","ru.netology.tests.TestOwnerField","","ru.netology.tests.TestOwnerField","manyLettersInFieldOwnerBuyFormTest","manyLettersInFieldOwnerBuyFormTest()",""
"passed","Sun Nov 29 20:21:53 MSK 2020","Sun Nov 29 20:22:03 MSK 2020","9451","","ru.netology.tests.TestNumberCardField","","ru.netology.tests.TestNumberCardField","uncorrectNumberCardBuyFormTest","uncorrectNumberCardBuyFormTest()",""
"passed","Sun Nov 29 20:21:06 MSK 2020","Sun Nov 29 20:21:08 MSK 2020","1670","","ru.netology.tests.TestMonthField","","ru.netology.tests.TestMonthField","uncorrectMonthCreditFormTest","uncorrectMonthCreditFormTest()",""
